2025-11-12 11:11:03.346879: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

========================================
 Verificando disponibilidad de GPU (PyTorch)...
========================================
✅ ¡Éxito! GPU disponible.
   Dispositivos encontrados: 1
   Usando dispositivo 0: NVIDIA GeForce RTX 2060 with Max-Q Design
  0%|          | 0/1000 [00:00<?, ?it/s]  0%|          | 1/1000 [00:02<38:36,  2.32s/it]  Episode 1, Step 10, Buffer Size: 10, Avg Loss: 0.0000, Reward: -427
  Episode 2, Step 670, Buffer Size: 1670, Avg Loss: 48.7805, Reward: -35594
  Episode 2, Step 680, Buffer Size: 1680, Avg Loss: 52.1085, Reward: -36571
  Episode 2, Step 690, Buffer Size: 1690, Avg Loss: 47.8993, Reward: -37130
  Episode 2, Step 700, Buffer Size: 1700, Avg Loss: 48.6269, Reward: -37590
  Episode 2, Step 710, Buffer Size: 1710, Avg Loss: 50.3345, Reward: -38149
  Episode 2, Step 720, Buffer Size: 1720, Avg Loss: 49.5659, Reward: -39005
  Episode 2, Step 730, Buffer Size: 1730, Avg Loss: 49.3256, Reward: -39575
  Episode 2, Step 740, Buffer Size: 1740, Avg Loss: 49.6456, Reward: -40024
  Episode 2, Step 750, Buffer Size: 1750, Avg Loss: 51.2485, Reward: -40473
  Episode 2, Step 760, Buffer Size: 1760, Avg Loss: 46.1555, Reward: -41131
  Episode 2, Step 770, Buffer Size: 1770, Avg Loss: 49.9771, Reward: -41602
  Episode 2, Step 780, Buffer Size: 1780, Avg Loss: 48.7275, Reward: -42172
  Episode 2, Step 790, Buffer Size: 1790, Avg Loss: 49.4228, Reward: -42522
  Episode 2, Step 800, Buffer Size: 1800, Avg Loss: 47.1549, Reward: -43070
  Episode 2, Step 810, Buffer Size: 1810, Avg Loss: 46.0356, Reward: -43640
  Episode 2, Step 820, Buffer Size: 1820, Avg Loss: 48.2922, Reward: -44298
  Episode 2, Step 830, Buffer Size: 1830, Avg Loss: 46.2978, Reward: -44945
  Episode 2, Step 840, Buffer Size: 1840, Avg Loss: 49.5006, Reward: -45185
  Episode 2, Step 850, Buffer Size: 1850, Avg Loss: 47.4455, Reward: -45843
  Episode 2, Step 860, Buffer Size: 1860, Avg Loss: 51.5540, Reward: -46369
  Episode 2, Step 870, Buffer Size: 1870, Avg Loss: 50.9420, Reward: -46807
  Episode 2, Step 880, Buffer Size: 1880, Avg Loss: 47.8065, Reward: -47366
  Episode 2, Step 890, Buffer Size: 1890, Avg Loss: 49.1290, Reward: -48024
